      station_name       station_id  water_level (in m)        lat       long
26        SAWAIPUR  251825074520001                9.53  25.306944  74.866667
27          SOPURA  253615074540001                9.78  25.604167  74.900000
28  Taswaria Khurd  253340074480001                8.86  25.561111  74.800000
29          TILOLI  253551074184801                1.05  25.597500  74.313333












Empty DataFrame
Columns: [station_name, station_id, water_level (in m), lat, long]
Index: []





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                2.89  25.720833  75.354167
1           BADNOR  255000074170001               13.98  25.833333  74.283333
2     BANERAMATAJI  252915074420001               17.24  25.487500  74.700000
3          BARASNI  254530074280001               13.40  25.758333  74.466667
4            BIGOD  251440075023001               10.00  25.244444  75.041667
5          BIJOLIA  251012075192201                7.13  25.170000  75.322778
6           BORANI  254100075200001               16.54  25.683333  75.333333
7          DEVARIA  251700074093001               25.00  25.283333  74.158333
8           GAGEDA  255200074330001               11.39  25.866667  74.550000
9        GANGAPUR1  251300074153501               20.68  25.216667  74.259722
10       GULABPURA  255400074410001               17.81  25.900000  74.683333
11      GULABPURA1  253820075065501                4.70  25.638889  75.115278
12       HAMIRGARH  251050074345001               19.09  25.180556  74.580556
13        JAHAJPUR  253715075163001                7.75  25.620833  75.275000
14      JIWANLIYAN  253056074332801                8.58  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                4.70  25.755556  74.905556
16        KODUKOTA  252230074463001               18.25  25.375000  74.775000
17          KOTARI  252350074533001                9.47  25.397222  74.891667
18     MANDALGARH1  251700075053801               21.92  25.283333  75.093889
19     MANDAPIA RS  251610074381501                9.55  25.269444  74.637500
20          PAROLI  253104075053001                7.70  25.517778  75.091667
21       PITAKHERA  252226074063001               23.30  25.373889  74.108333
22      RAILA ROAD  253800074360001               15.95  25.633333  74.600000
23       SALAWATIA  250650075154001               29.75  25.113889  75.261111
24        Sawaipur  251830074500001               14.15  25.308333  74.833333
25        SAWAIPUR  251825074520001               14.85  25.306944  74.866667
26          SOPURA  253615074540001                6.62  25.604167  74.900000
27         SUWANA1  252100074420001               21.30  25.350000  74.700000
28  Taswaria Khurd  253340074480001               14.63  25.561111  74.800000
29          TILOLI  253551074184801                1.25  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.59  25.720833  75.354167
1           BADNOR  255000074170001                5.77  25.833333  74.283333
2     BANERAMATAJI  252915074420001                8.85  25.487500  74.700000
3          BARASNI  254530074280001                7.46  25.758333  74.466667
4            BIGOD  251440075023001                6.38  25.244444  75.041667
5          BIJOLIA  251012075192201                3.86  25.170000  75.322778
6           BORANI  254100075200001               11.79  25.683333  75.333333
7          DEVARIA  251700074093001               10.63  25.283333  74.158333
8           GAGEDA  255200074330001                4.52  25.866667  74.550000
9        GANGAPUR1  251300074153501                7.28  25.216667  74.259722
10       GULABPURA  255400074410001                3.98  25.900000  74.683333
11      GULABPURA1  253820075065501                7.82  25.638889  75.115278
12       HAMIRGARH  251050074345001               11.44  25.180556  74.580556
13        JAHAJPUR  253715075163001                6.75  25.620833  75.275000
14      JIWANLIYAN  253056074332801                7.12  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                2.56  25.755556  74.905556
16        KODUKOTA  252230074463001               11.53  25.375000  74.775000
17          KOTARI  252350074533001                4.64  25.397222  74.891667
18     MANDALGARH1  251700075053801                4.73  25.283333  75.093889
19     MANDAPIA RS  251610074381501                3.59  25.269444  74.637500
20        NANGPURA  252715074111501                7.36  25.454167  74.187500
21          PAROLI  253104075053001                7.26  25.517778  75.091667
22       PITAKHERA  252226074063001                2.63  25.373889  74.108333
23      RAILA ROAD  253800074360001                4.38  25.633333  74.600000
24       SALAWATIA  250650075154001               11.48  25.113889  75.261111
25        SAWAIPUR  251825074520001                8.17  25.306944  74.866667
26          SOPURA  253615074540001                9.33  25.604167  74.900000
27  Taswaria Khurd  253340074480001                6.30  25.561111  74.800000
